"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","PUT /posts/1 updates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","48","PUT /posts/1 updates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","763","home page loads with hero call-to-action","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","828","filters by Active and Completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","801","tracks the remaining counter","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","1939","home page loads with hero call-to-action","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","18","GET /posts/0 returns 404 (negative case)","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","211","PUT /posts/1 updates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","30","GET /posts returns a non-empty collection","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","1509","TodoMVC has no critical WCAG violations","Accessibility","2026-06-27","passed","2026-06-27","Accessibility @regression","a11y/accessibility.spec.ts","",""
"","16","GET /posts/0 returns 404 (negative case)","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","1542","persists todos across reload","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","103","GET /posts/0 returns 404 (negative case)","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","48","POST /posts creates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","2161","adds multiple todos and shows them in order","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","4702","marks a todo as completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","407","trims whitespace-only entries","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - input validation","e2e/todo.spec.ts","",""
"","79","DELETE /posts/1 succeeds","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
